na2,na1,nt2,ftm,cell_type,fa2,fa1,ft1,nt1,ntm,ft2,cell_id,treatment,cell_line,normrr
33.43953647,66.56046353,2286.472251,578.9156531,epithelial,14.2091529,85.79084684,281.3883333,382.2307037,1014.531626,2665.992251,MCF7_cntrl_03_145,control,MCF7,0.791260794
33.33097143,66.66902857,2245.729524,1234.61082,epithelial,19.6144619,80.3855381,758.5162381,392.5327857,1001.443554,3203.95619,MCF7_cntrl_07_4,control,MCF7,0.792705856
29.83956183,70.16043817,2275.861355,1288.771156,epithelial,19.96755845,80.03244187,792.0335422,392.1577137,942.5834632,3478.176811,MCF7_cntrl_01_58,control,MCF7,0.793017941
29.4924572,70.5075428,2338.738194,1290.393241,epithelial,20.62284413,79.37715576,804.0737672,421.7459853,974.3693731,3304.571294,MCF7_cntrl_01_8,control,MCF7,0.794670267
33.41399442,66.58600558,2189.337285,934.069566,epithelial,19.52454269,80.47545728,492.2072526,370.1679152,972.4118904,3276.750198,MCF7_cntrl_08_133,control,MCF7,0.796836537
33.32607011,66.67392989,2248.780142,685.5793265,epithelial,19.59458788,80.40541235,342.087674,404.9530142,1016.370491,2677.087954,MCF7_cntrl_04_245,control,MCF7,0.798018107
30.40643697,69.59356303,2186.164373,1257.405865,epithelial,20.60627282,79.39372692,769.257208,392.3460338,929.5675399,3603.760822,MCF7_cntrl_01_202,control,MCF7,0.798086257
29.7641068,70.23589326,2249.659691,1366.488506,epithelial,20.80966769,79.19033239,732.9148857,394.8652857,934.0211554,7826.520767,MCF7_cntrl_01_240,control,MCF7,0.798239901
33.78984913,66.21015087,2207.112235,843.0277299,epithelial,19.40337877,80.5966211,418.4923906,395.6017742,1003.156487,3221.888946,MCF7_cntrl_08_99,control,MCF7,0.800714714
36.65654664,63.34345336,2210.75797,607.8509813,epithelial,17.47656316,82.52343634,279.4856542,422.0217466,1076.528894,2360.800337,MCF7_cntrl_04_194,control,MCF7,0.80245634
29.8007393,70.1992607,2238.920197,1292.470174,epithelial,21.44872823,78.55127159,805.02532,420.7631244,954.176934,3325.726223,MCF7_cntrl_01_98,control,MCF7,0.8026963
30.20482418,69.79517582,2293.397802,1055.117097,epithelial,19.37456158,80.62543846,642.038978,410.9719231,971.8877224,3133.219912,MCF7_cntrl_01_187,control,MCF7,0.802874086
31.23492947,68.76507053,2304.283053,875.4136929,epithelial,20.31126796,79.68873218,428.21666,408.1740737,994.7665674,3266.120924,MCF7_cntrl_06_240,control,MCF7,0.803434461
37.80151654,62.19848346,2192.031601,856.2593873,epithelial,18.72096612,81.27903413,455.0791018,401.0570079,1069.886563,3302.083197,MCF7_cntrl_08_245,control,MCF7,0.803544676
31.09177895,68.90822105,2288.935263,804.3555754,epithelial,19.47416279,80.52583701,395.1311533,392.7594394,979.2568195,2851.409632,MCF7_cntrl_04_105,control,MCF7,0.804366913
33.70573684,66.29426316,2238.186295,592.9609881,epithelial,12.76091393,87.23908611,292.0818469,374.0311136,998.0367015,2794.97848,MCF7_cntrl_03_245,control,MCF7,0.804445803
31.063027,68.936973,2223.436053,678.7187782,epithelial,18.89992414,81.10007676,313.0342217,388.5657567,956.2296675,2424.854113,MCF7_cntrl_04_187,control,MCF7,0.805598362
30.58318818,69.41681182,2199.086636,1107.561366,epithelial,20.71329382,79.28670654,637.6386527,388.0618773,938.8451513,3084.14155,MCF7_cntrl_07_128,control,MCF7,0.805696495
34.28083125,65.71916875,2196.967433,931.9481324,epithelial,20.99862057,79.00137936,501.4732768,401.4591161,1013.95356,2971.160132,MCF7_cntrl_06_172,control,MCF7,0.806278626
31.16106298,68.83893701,2278.60498,1262.817972,epithelial,20.93671122,79.06328877,779.8142594,408.6513622,977.6966998,3268.321028,MCF7_cntrl_01_83,control,MCF7,0.807019065
28.35917692,71.64082308,2015.229231,1172.945273,epithelial,16.50016923,83.49983077,725.0394615,331.4493846,805.3708182,4128.326923,MCF7_cntrl_01_232,control,MCF7,0.807897055
30.92778881,69.07221119,2140.216385,740.3001545,epithelial,19.29525046,80.70474935,356.7171915,400.9289741,936.1480797,2664.814483,MCF7_cntrl_08_190,control,MCF7,0.808293756
31.6658863,68.33411361,2229.63784,1278.410478,epithelial,20.68785762,79.3121422,813.6009485,378.2683935,949.92927,3257.502178,MCF7_cntrl_02_179,control,MCF7,0.809646634
34.11514238,65.88485762,2231.151078,914.4700557,epithelial,18.95747364,81.04252602,469.6268561,407.2664647,1027.366734,3207.495836,MCF7_cntrl_05_244,control,MCF7,0.810043867
33.54066757,66.45933243,2318.417677,898.1389901,epithelial,18.42199285,81.57800736,437.7752911,424.1381081,1051.095181,3744.368173,MCF7_cntrl_08_232,control,MCF7,0.810766194
34.06489321,65.93510679,2265.556883,967.4201804,epithelial,20.94883493,79.05116501,492.6520896,405.7663956,1034.572348,3413.781895,MCF7_cntrl_06_193,control,MCF7,0.811662754
30.87712825,69.12287175,2279.941243,966.3736016,epithelial,21.87846518,78.12153475,512.8679065,413.3222288,987.417869,2957.731638,MCF7_cntrl_06_141,control,MCF7,0.811759719
29.77178981,70.22821027,2401.90813,1310.567089,epithelial,20.79103334,79.20896662,798.1065719,438.6341211,1004.995731,3429.419918,MCF7_cntrl_01_5,control,MCF7,0.812413553
31.29861837,68.70138163,2218.638419,898.4756908,epithelial,22.98226237,77.01773762,463.4569309,403.5547558,968.6430277,2541.3198,MCF7_cntrl_06_234,control,MCF7,0.8127145
29.61057931,70.38942069,2390.995862,941.6822956,epithelial,27.54433966,72.45566468,490.1494621,463.2726552,1015.953542,3005.176103,MCF7_cntrl_06_6,control,MCF7,0.813535654
33.0719636,66.9280364,2234.129081,656.0668147,epithelial,13.35707104,86.64292935,313.7381443,388.6548934,996.2940251,3702.369849,MCF7_cntrl_03_199,control,MCF7,0.813706976
31.91785082,68.08214918,2241.513488,524.5697054,epithelial,12.19348838,87.80651224,268.1685867,365.7028959,963.2092728,2459.675305,MCF7_cntrl_03_204,control,MCF7,0.814083078
36.00650711,63.99349289,2208.32865,782.66063,epithelial,17.92349404,82.07650579,412.610157,404.810857,1050.210293,2716.568421,MCF7_cntrl_05_221,control,MCF7,0.814096077
30.67027698,69.32972302,2277.033968,790.3879955,epithelial,18.75803071,81.24196905,413.6087246,387.5852302,964.5085775,2535.797698,MCF7_cntrl_05_246,control,MCF7,0.815045173
28.69654261,71.30345749,2481.08419,1186.591859,epithelial,21.08231959,78.91768041,733.2352277,450.6612126,1002.294353,3074.947496,MCF7_cntrl_01_93,control,MCF7,0.816032528
33.96579509,66.03420491,2235.125948,834.7320811,epithelial,18.51741669,81.48258257,424.7230427,410.7173009,1024.461449,3071.376215,MCF7_cntrl_08_159,control,MCF7,0.816638863
38.99454268,61.00545732,2225.136237,1015.962354,epithelial,21.43455878,78.56544072,575.0297159,394.8355808,1102.065392,2807.689424,MCF7_cntrl_06_10,control,MCF7,0.816676409
35.29060917,64.70939083,2219.303795,961.4061803,epithelial,19.41256778,80.58743259,518.594007,381.9831924,1025.956021,3172.805779,MCF7_cntrl_05_42,control,MCF7,0.816679976
30.20825714,69.79174286,2306.828571,1131.1494,epithelial,18.65035714,81.34964286,713.8892857,382.5507143,960.9135564,2872.108571,MCF7_cntrl_07_150,control,MCF7,0.817353094
33.09642444,66.90357556,2312.563333,952.7004174,epithelial,19.354486,80.64551463,456.8317244,403.2717556,1024.955795,3868.871722,MCF7_cntrl_03_13,control,MCF7,0.817433747
33.75757143,66.24242857,2216.272438,736.5949642,epithelial,18.57506683,81.42493357,368.1886846,401.1053048,1011.951191,3106.33661,MCF7_cntrl_04_112,control,MCF7,0.817602108
