na2,na1,nt2,ftm,cell_type,fa2,fa1,ft1,nt1,ntm,ft2,cell_id,treatment,cell_line,normrr
26.14736822,73.85263178,2207.643305,843.513537,epithelial,20.64716856,79.35283136,444.9795983,389.3914322,858.5359247,2548.910174,MCF10A_cntrl_01_95,control,MCF10A,0.821847541
26.18480257,73.81519738,2209.417927,1066.825872,epithelial,21.3262607,78.67373896,581.4750013,370.9511864,840.6422363,3116.115307,MCF10A_cntrl_04_141,control,MCF10A,0.823013448
26.32454149,73.67545851,2105.022234,800.9541789,epithelial,19.59124046,80.40875943,393.8807577,402.3711182,844.5831799,2991.416078,MCF10A_cntrl_06_156,control,MCF10A,0.823203834
26.4522722,73.5477278,2176.386352,959.8908444,epithelial,20.72930524,79.27069481,517.0337132,402.182586,863.6025028,2783.109051,MCF10A_cntrl_01_117,control,MCF10A,0.823272582
26.77256182,73.22743818,2218.761429,1206.657063,epithelial,21.1409034,78.85909706,696.224431,404.1552401,883.6521647,3251.270908,MCF10A_cntrl_02_37,control,MCF10A,0.824125604
26.87457729,73.12542271,2186.771116,1041.021766,epithelial,21.70314381,78.29685618,571.4778414,403.0841036,877.0367041,2808.165842,MCF10A_cntrl_02_235,control,MCF10A,0.824826444
25.98207785,74.01792215,2266.818175,1075.911642,epithelial,20.77958214,79.22041787,606.9202778,413.9405601,887.4503228,3082.181413,MCF10A_cntrl_01_147,control,MCF10A,0.82516764
24.94760159,75.05239837,2236.908692,1163.768886,epithelial,21.07648175,78.92351828,670.2388098,411.8911724,861.2337542,3109.373611,MCF10A_cntrl_02_73,control,MCF10A,0.825571793
24.44442702,75.55557298,2210.250694,1119.764967,epithelial,21.13311581,78.86688439,634.006622,416.1385116,846.2471207,3075.279695,MCF10A_cntrl_01_156,control,MCF10A,0.826354405
27.2001066,72.79989343,2251.685254,1044.836146,epithelial,21.62401205,78.37598802,553.5460905,407.3540558,903.1249632,3069.32757,MCF10A_cntrl_01_44,control,MCF10A,0.8265408
24.48843739,75.51156261,2198.846462,1245.666927,epithelial,21.3344343,78.66556578,719.3509799,406.0068507,837.7107796,3370.888463,MCF10A_cntrl_01_18,control,MCF10A,0.826585209
27.36315991,72.63684009,2181.57927,1057.030751,epithelial,21.06920438,78.93079578,600.7028906,402.728533,882.400326,2874.946311,MCF10A_cntrl_01_138,control,MCF10A,0.826723432
27.71432662,72.28567338,2109.157576,1157.484481,epithelial,22.36082807,77.63917179,622.9980967,350.6151325,834.1427996,3125.438927,MCF10A_cntrl_04_206,control,MCF10A,0.826897279
24.12389135,75.87610865,2152.158149,1037.134252,epithelial,20.84817197,79.15182813,591.4051322,404.6642644,820.7936281,2849.050231,MCF10A_cntrl_02_171,control,MCF10A,0.827645492
25.37412163,74.62587837,2215.336556,1150.131646,epithelial,21.19391701,78.80608292,632.1255041,399.2576116,852.6974679,3287.906961,MCF10A_cntrl_01_53,control,MCF10A,0.82814608
25.90827797,74.09172213,2156.607432,918.3031624,epithelial,21.31702891,78.68297095,465.2958643,363.1151211,819.2415911,2968.203307,MCF10A_cntrl_04_144,control,MCF10A,0.828282741
25.94035416,74.05964584,2160.257985,1099.414792,epithelial,20.29096103,79.70903875,614.9933812,409.4980506,855.1300959,3421.968616,MCF10A_cntrl_01_218,control,MCF10A,0.828772271
25.80224258,74.19775742,2195.029626,1061.2962,epithelial,21.25989345,78.7401067,566.6619559,375.511711,834.2241601,3205.193977,MCF10A_cntrl_04_165,control,MCF10A,0.828840333
28.10373142,71.89626858,2137.310598,1132.937847,epithelial,22.1960571,77.80394289,615.8202581,401.6908841,883.29286,3060.584787,MCF10A_cntrl_01_213,control,MCF10A,0.828902537
25.89585434,74.10414566,2131.466686,993.6133513,epithelial,20.97984593,79.02015361,520.0758882,374.34842,821.6041803,2890.45299,MCF10A_cntrl_04_146,control,MCF10A,0.828908509
27.69021049,72.30978951,2066.713221,1057.782119,epithelial,20.77562834,79.2243717,585.4383161,336.7314831,810.7588614,2992.823856,MCF10A_cntrl_04_39,control,MCF10A,0.828931656
23.33173119,76.66826881,2248.911916,1159.774576,epithelial,20.51722109,79.48277904,660.6232573,422.5533203,844.205812,3222.040903,MCF10A_cntrl_01_31,control,MCF10A,0.829641668
28.04861418,71.95138582,2159.601348,1086.792039,epithelial,20.93626141,79.06373887,609.7220901,395.8247546,884.0099221,3011.258427,MCF10A_cntrl_01_178,control,MCF10A,0.829740204
26.13483107,73.86516895,2153.085882,1092.973163,epithelial,21.8107512,78.1892488,597.7517837,400.2464224,852.3765803,2984.154846,MCF10A_cntrl_01_171,control,MCF10A,0.829778968
23.0015702,76.9984297,2278.375099,1020.299018,epithelial,19.84382158,80.15617871,581.2646292,436.0844406,845.7798366,3147.505901,MCF10A_cntrl_03_101,control,MCF10A,0.830235959
26.64496892,73.35503108,2223.010906,1094.724985,epithelial,19.89610574,80.10389424,609.9874157,414.1877727,883.9845875,3294.486269,MCF10A_cntrl_01_145,control,MCF10A,0.83100274
28.36131303,71.63868697,2112.744017,1092.328417,epithelial,21.5911504,78.40884964,618.3800347,417.4244169,891.8948671,2918.851027,MCF10A_cntrl_01_244,control,MCF10A,0.831202624
26.06679832,73.93320168,2156.735313,1141.924402,epithelial,21.44331595,78.55668408,630.2460422,411.6636037,859.0201697,3219.740591,MCF10A_cntrl_01_222,control,MCF10A,0.831347837
24.74884054,75.25115946,2152.893929,1094.563337,epithelial,21.14222018,78.85778009,596.6024891,409.2143825,834.9161867,3293.924416,MCF10A_cntrl_03_127,control,MCF10A,0.83150859
23.37697518,76.62302482,2344.979602,1046.454293,epithelial,21.17696316,78.82303696,563.107111,464.1072974,895.3942148,2951.694241,MCF10A_cntrl_05_98,control,MCF10A,0.831554162
24.21913062,75.78086938,2119.904886,994.0302901,epithelial,21.41290886,78.58709172,544.8454951,384.3285603,800.7534665,2835.585756,MCF10A_cntrl_02_185,control,MCF10A,0.831559506
25.85679151,74.14320849,2098.620573,1081.686751,epithelial,20.51657217,79.48342801,611.2940352,390.2899779,825.2987445,3098.052106,MCF10A_cntrl_01_59,control,MCF10A,0.831573012
25.89246234,74.10753766,2188.404432,1158.382688,epithelial,21.33356853,78.66643151,636.1122738,407.2722336,862.6191237,3322.135218,MCF10A_cntrl_01_132,control,MCF10A,0.831713511
26.60147149,73.39852851,2178.990428,1129.321184,epithelial,20.7145278,79.28547215,642.5635518,398.6203973,865.2822122,3132.61797,MCF10A_cntrl_01_57,control,MCF10A,0.832269583
26.00551816,73.99448184,2200.497308,1129.329908,epithelial,21.54919274,78.45080726,633.3534135,408.3183184,868.4057855,3057.920748,MCF10A_cntrl_02_132,control,MCF10A,0.8325
25.08772232,74.91227765,2141.645244,1159.539492,epithelial,20.98856436,79.01143601,641.6884005,409.1744067,837.0731353,3547.386617,MCF10A_cntrl_01_106,control,MCF10A,0.833228041
25.16380887,74.83619113,2379.738754,945.1339886,epithelial,20.13551025,79.86448959,512.4560659,514.4697867,969.6630619,2826.647169,MCF10A_cntrl_05_190,control,MCF10A,0.833327303
25.49248746,74.50751264,2241.386572,1147.397943,epithelial,21.66295215,78.33704782,620.7707504,412.378891,871.5188394,3142.814883,MCF10A_cntrl_03_161,control,MCF10A,0.833342742
26.82321204,73.17678796,2068.462222,1056.327141,epithelial,21.22899958,78.77100046,598.1861296,372.423838,822.9432163,2870.696009,MCF10A_cntrl_03_248,control,MCF10A,0.833519775
26.01243861,73.98756139,2236.928149,1218.521032,epithelial,20.89307583,79.10692402,671.9114598,397.5177384,868.9971068,3722.960135,MCF10A_cntrl_01_77,control,MCF10A,0.833890722
28.17124428,71.82875572,2104.481945,1055.457658,epithelial,22.26101515,77.73898479,568.6154958,384.753254,864.8000157,2876.105063,MCF10A_cntrl_04_225,control,MCF10A,0.834138608
23.77405309,76.22594691,2250.042887,1167.617579,epithelial,21.68424697,78.31575298,651.5513686,420.7409381,850.9660136,3188.127545,MCF10A_cntrl_01_154,control,MCF10A,0.834311101
24.47518339,75.52481661,2046.85731,1161.325404,epithelial,20.88537496,79.11462523,650.0762261,352.9115961,763.6421443,3312.057854,MCF10A_cntrl_04_139,control,MCF10A,0.834436279
24.03484325,75.96515675,2196.07908,1199.607529,epithelial,21.75472743,78.24527251,664.0304204,390.4694124,819.4276573,3229.488424,MCF10A_cntrl_01_84,control,MCF10A,0.834751448
26.15841081,73.84158919,2134.117267,1138.080203,epithelial,21.26467201,78.73532793,640.9800834,400.6309547,847.9925772,3173.474049,MCF10A_cntrl_01_125,control,MCF10A,0.835005592
25.83284036,74.16715964,2177.882238,1107.393543,epithelial,20.59663644,79.40336357,622.7742852,373.4558167,832.9350878,3100.446154,MCF10A_cntrl_04_176,control,MCF10A,0.835020886
26.55861175,73.44138825,2169.478543,1141.802383,epithelial,21.23964217,78.76035783,633.3522145,395.6386457,862.2784287,3130.238206,MCF10A_cntrl_01_128,control,MCF10A,0.835172686
24.5061487,75.4938513,2120.528315,1136.425003,epithelial,21.5309086,78.46909131,629.2394485,371.5932317,791.5299762,3108.910571,MCF10A_cntrl_04_129,control,MCF10A,0.835502924
28.0560084,71.9439916,2150.479253,1132.820244,epithelial,21.48268539,78.51731461,631.6043985,417.8810037,898.4573781,3121.435803,MCF10A_cntrl_02_182,control,MCF10A,0.835539246
26.4140229,73.5859771,2176.452726,1162.883575,epithelial,22.39107715,77.60892274,634.9063131,398.0126215,863.488291,3110.211698,MCF10A_cntrl_01_182,control,MCF10A,0.835544865
26.05612814,73.94387181,2061.731507,1082.769753,epithelial,21.20361867,78.79638116,590.701675,363.9354131,798.951194,3018.593289,MCF10A_cntrl_04_135,control,MCF10A,0.835622957
27.18548316,72.81451684,2199.09299,1094.270081,epithelial,21.34581965,78.65418035,604.7158529,406.2134141,887.926212,3004.653341,MCF10A_cntrl_02_180,control,MCF10A,0.83620212
