Dim1,Dim2,Dim3,Dim4,Dim5,Dim6,Dim7,Dim8,Dim9,Dim10,cell_id,cell_type,cell_line,treatment,experiment
-0.03167117722422204,0.009161008424065647,-0.013812635445041188,0.0024372488242802855,0.007480548996029935,0.024043288851019005,-0.017433399903774096,0.006037284363017536,0.01003209327124361,0.012892465542910679,A549_FCCP_A1_N2_12,epithelial,A549,FCCP,Lifetime
-0.0316711772242226,-0.025503899188633453,-0.007752132346387788,-0.022475858122935618,-0.006115337399916227,-0.006922302305284895,0.013551212745334162,0.021410965248213083,-0.01035654881839785,0.01668930670581202,A549_FCCP_A1_N2_7,epithelial,A549,FCCP,Lifetime
-0.03167117722422232,0.004198787917562223,-0.021203261314351705,-0.0011360103031491085,-0.007114831677283919,0.030987009142499414,-0.02624227363484935,0.0030940678580729294,0.0011327535429272982,0.01712552237068727,A549_FCCP_A1_N2_15,epithelial,A549,FCCP,Lifetime
-0.03167117722422277,-0.031012353640907417,0.004127023748178272,-0.008213450593570216,-0.0021127700806475077,0.013805310335459205,0.012130012286588351,-0.02415579884814295,0.0027942417650866636,0.008738488488990264,A549_FCCP_A1_N2_8,epithelial,A549,FCCP,Lifetime
-0.03167117722422275,-0.03388339147042423,0.010063654216636431,0.0036527774106776523,0.002763907862438029,-0.005230943079300662,0.0018176084892742507,0.01650578474811149,0.01009656432539272,-0.004883344673289665,A549_FCCP_A1_N2_2,epithelial,A549,FCCP,Lifetime
-0.03167117722422236,0.007495799315525877,-0.017068587626143796,0.001536513054938222,0.014511403924241112,-0.009567799710764312,-0.006300737242101703,-0.007419332971525879,0.010640471208935015,-0.01130780812985413,A549_FCCP_A1_N2_70,epithelial,A549,FCCP,Lifetime
-0.03167117722422325,-0.03214132782402847,0.008807383428040508,0.0005842338303286449,0.005761926127477247,0.00397834589441134,0.0038690888779415867,-0.0015403239554185229,0.013967978016794448,-0.014596319731669471,A549_FCCP_A1_N2_35,epithelial,A549,FCCP,Lifetime
-0.03167117722422294,-0.029395089537513085,0.002704068860839823,-0.009071711656983507,0.005871770542263961,-0.0023380226720902254,0.006133961189884183,0.020005759217854514,0.010694757148089465,-0.01499958217788035,A549_FCCP_A1_N2_26,epithelial,A549,FCCP,Lifetime
-0.031671177224222906,-0.033231176534558815,0.010005297949258479,0.002862905447210703,0.0038178511349392075,0.004899800526430623,0.004122491498373878,-0.013193148329893654,0.014059625073421164,-0.005406430850297653,A549_FCCP_A1_N2_53,epithelial,A549,FCCP,Lifetime
-0.03167117722422279,-0.03324868517777443,0.009291670718206033,0.0031834838013691602,-0.0015219010716113893,0.007696543257618438,0.003586078713474482,-0.01942132526269826,0.0029037754870683396,0.0052975841080009165,A549_FCCP_A1_N2_38,epithelial,A549,FCCP,Lifetime
-0.03167117722422305,-0.035586750486869274,0.01469519482574858,0.015000269587926008,0.002712989479547376,-0.003943781411353586,-0.01028090086487836,0.005305866343187398,0.00028704196190417695,-0.009722273772271688,A549_FCCP_A1_N2_68,epithelial,A549,FCCP,Lifetime
