mito_area,mito_intensity_sum,mito_intensity_avg,nuclei_area,nuclei_intensity_sum,nuclei_intensity_avg,Delta Psi 1,cell_area,mito_content,cell_line,treatment,cell_id,cell_mito_count,cell_total_mito_area_(pixels_squared),cell_network_orientation_(degrees),cell_network_major_axis_(pixels),cell_network_minor_axis_(pixels),cell_network_eccentricity,cell_network_effective_extent,cell_network_effective_solidity,cell_network_fractal_dimension
212,13388,63.15094339622642,381,6171,16.19685039370079,-83.68372554458759,1022,0.2074363992172211,A549,FCCP,A549_FCCP_A1_N2_12,5,44.5,-85.33886295192674,20.88706483680723,12.081318568849138,0.8157451397419925,0.1765873015873015,0.225031605562579,1.0496779929517743
480,9869,20.560416666666665,366,1965,5.368852459016393,-82.57934119513662,1762,0.2724177071509648,A549,FCCP,A549_FCCP_A1_N2_7,4,95.0,13.116998053148151,23.428127461528728,21.36434447163109,0.4103901715160378,0.196687370600414,0.242811501597444,1.08704773869984
292,17168,58.7945205479452,261,3483,13.344827586206897,-91.19956767287177,1038,0.2813102119460501,A549,FCCP,A549_FCCP_A1_N2_15,7,63.5,1.3025055383155506,23.92030767568459,11.885807601878575,0.8678124337041033,0.2032,0.2892938496583143,1.0728241611886389
353,6247,17.69688385269122,386,1427,3.696891191709845,-96.30262383671844,1047,0.3371537726838586,A549,FCCP,A549_FCCP_A1_N2_8,3,81.75,-43.26123853485854,23.75739141503547,13.862017762386078,0.812125844338102,0.2048872180451127,0.3202742409402546,1.2033192009159728
439,16232,36.9749430523918,443,4390,9.909706546275396,-80.97863254299348,1204,0.3646179401993355,A549,FCCP,A549_FCCP_A1_N2_2,1,109.75,85.7550167866478,20.41002733733501,17.54109950500082,0.5112443991327685,0.3149210903873745,0.3919642857142857,1.2717178522124764
159,16271,102.33333333333331,241,2616,10.854771784232366,-137.98328680970818,1351,0.1176905995558845,A549,FCCP,A549_FCCP_A1_N2_70,2,34.5,36.811168871328505,15.793177858996524,11.28203150396017,0.6997772898175126,0.1712158808933002,0.2541436464088398,1.1780995048948866
269,5177,19.2453531598513,287,1627,5.668989547038327,-75.1689128691997,772,0.3484455958549223,A549,FCCP,A549_FCCP_A1_N2_35,3,66.25,-61.36038956019165,15.596778204514544,14.59430740771315,0.3527283229712777,0.2849462365591398,0.3727144866385373,1.2336141384770736
236,11145,47.22457627118644,267,2135,7.99625468164794,-109.22038217221083,991,0.2381432896064581,A549,FCCP,A549_FCCP_A1_N2_26,2,53.5,28.33176248107254,17.478754659682192,15.454053221089016,0.4671801584106542,0.1652509652509652,0.2671660424469413,1.151773475989731
505,9879,19.562376237623763,298,2149,7.211409395973154,-61.373539495368505,1179,0.4283290924512298,A549,FCCP,A549_FCCP_A1_N2_53,2,119.25,66.15586370155155,21.413579205700422,16.18472519245628,0.654784098528716,0.3340336134453781,0.4408502772643253,1.2437539020792765
267,7552,28.28464419475656,440,2696,6.127272727272727,-94.06851221476956,1011,0.2640949554896142,A549,FCCP,A549_FCCP_A1_N2_38,1,63.0,-65.16372663248659,19.818163958170125,14.33110735129709,0.6907120357595086,0.2019230769230769,0.2844243792325056,1.2305379745721134
