mito_area,mito_intensity_sum,mito_intensity_avg,nuclei_area,nuclei_intensity_sum,nuclei_intensity_avg,Delta Psi 1,cell_area,mito_content,cell_line,treatment,cell_id,cell_mito_count,cell_total_mito_area_(pixels_squared),cell_network_orientation_(degrees),cell_network_major_axis_(pixels),cell_network_minor_axis_(pixels),cell_network_eccentricity,cell_network_effective_extent,cell_network_effective_solidity,cell_network_fractal_dimension,cell_type
640,4847,7.5734375,202,524,2.594059405940594,-65.89251896316699,1388,0.4610951008645533,MCF10A,FCCP,MCF10A_FCCP_A1_N2_2,1,152.75,2.262695842213964,27.330262792219024,16.97477019130104,0.7837329497938023,0.3174025974025974,0.4272727272727272,0.9632896497891666,epithelial
762,5921,7.770341207349081,203,653,3.2167487684729066,-54.23948998654489,1401,0.5438972162740899,MCF10A,FCCP,MCF10A_FCCP_A1_N2_3,1,186.75,23.693131954600418,24.933842195209145,18.338586820922927,0.6775357862255474,0.4182530795072788,0.5253164556962026,1.159804274354763,epithelial
1286,9297,7.229393468118196,282,770,2.730496453900709,-59.88080941154365,2747,0.4681470695303968,MCF10A,FCCP,MCF10A_FCCP_A1_N2_1,1,318.5,-31.073759455206904,36.59324446807793,24.131378682651206,0.7517492991542558,0.3345588235294117,0.4607594936708861,1.0485645634148693,epithelial
702,7802,11.113960113960117,229,1049,4.580786026200873,-54.509379943722095,1231,0.570268074735987,MCF10A,FCCP,MCF10A_FCCP_A1_N5_65,2,175.5,-82.50175912783223,29.16943619545524,14.41717133981592,0.869316353405583,0.403448275862069,0.5484375,1.2761201729266374,epithelial
832,8368,10.057692307692308,291,1037,3.563573883161512,-63.81078897216584,1698,0.4899882214369846,MCF10A,FCCP,MCF10A_FCCP_A1_N5_47,1,185.5,-38.46557136949788,31.421850124706385,18.311746799513905,0.8126363401472759,0.2745098039215686,0.417088251826869,1.1283922803294062,epithelial
756,8356,11.052910052910052,223,928,4.161434977578475,-60.075277788006765,1498,0.5046728971962616,MCF10A,FCCP,MCF10A_FCCP_A1_N5_22,1,187.75,-66.59404716535998,27.942321852454565,17.782735344246305,0.77135207879703,0.3373764600179694,0.4854557207498384,1.134466468425886,epithelial
652,7025,10.774539877300612,184,739,4.016304347826087,-60.68966178956877,1246,0.5232744783306581,MCF10A,FCCP,MCF10A_FCCP_A1_N5_76,1,157.5,73.85360075943903,31.665640328719515,13.417144531993126,0.9057964809816734,0.329153605015674,0.4754716981132075,1.1387910331988935,epithelial
732,8024,10.96174863387978,236,976,4.135593220338983,-59.94903360901812,1551,0.471953578336557,MCF10A,FCCP,MCF10A_FCCP_A1_N5_8,4,178.75,-46.27779598711943,40.906176998436926,12.942646624163034,0.9486264219883233,0.1926185344827586,0.4438237119801365,1.119938669404997,epithelial
532,8073,15.174812030075188,327,2057,6.290519877675841,-54.15648372480653,1167,0.4558697514995715,MCF10A,FCCP,MCF10A_FCCP_A1_N5_2,2,124.5,-11.353600620674804,26.446812244663413,14.703483225444389,0.8312061758998888,0.303104077906269,0.4153461217681401,1.1230585124211223,epithelial
483,4446,9.20496894409938,339,1122,3.309734513274336,-62.90684092341674,1099,0.4394904458598726,MCF10A,FCCP,MCF10A_FCCP_A1_N5_6,3,103.75,-47.363964355998505,22.530458555014924,15.71553192972848,0.7165615779660129,0.2800269905533063,0.3738738738738739,1.0844675596449729,epithelial
