mito_area,mito_intensity_sum,mito_intensity_avg,nuclei_area,nuclei_intensity_sum,nuclei_intensity_avg,Delta Psi 1,cell_area,mito_content,cell_line,treatment,cell_id,cell_mito_count,cell_total_mito_area_(pixels_squared),cell_network_orientation_(degrees),cell_network_major_axis_(pixels),cell_network_minor_axis_(pixels),cell_network_eccentricity,cell_network_effective_extent,cell_network_effective_solidity,cell_network_fractal_dimension,cell_type
867,7153,8.25028835063437,499,1359,2.723446893787575,-68.16351472508534,1962,0.4418960244648318,MCF7,FCCP,MCF7_FCCP_A1_N12_23,1,201.25,53.14058808499163,31.814828895069976,21.44292860677915,0.7387389750784694,0.2129629629629629,0.3885135135135135,1.089289228785682,epithelial
525,6320,12.038095238095238,289,978,3.384083044982699,-78.04308442155398,1273,0.4124116260801257,MCF7,FCCP,MCF7_FCCP_A1_N12_43,3,114.75,-28.16563269766967,25.5990432254437,17.050852677728873,0.7458858207239265,0.2142857142857143,0.3560899922420481,1.174316079750004,epithelial
615,5295,8.609756097560975,443,1067,2.4085778781038374,-78.34235980180082,1676,0.366945107398568,MCF7,FCCP,MCF7_FCCP_A1_N12_38,4,134.0,77.85699186914108,24.607116878569546,22.004342862617584,0.4476141955113222,0.2240802675585284,0.3209580838323353,1.0523185595180211,epithelial
294,2956,10.054421768707485,775,763,0.984516129032258,-142.9024770370955,2431,0.1209378856437679,MCF7,FCCP,MCF7_FCCP_A1_N8_26,4,40.5,-4.731920792099615,31.22325456164423,18.842224617714724,0.7973874677203824,0.0694980694980695,0.0892561983471074,0.94624384225342,epithelial
301,2141,7.112956810631229,341,489,1.434017595307918,-98.48843771644128,1124,0.2677935943060498,MCF7,FCCP,MCF7_FCCP_A1_N8_14,3,56.5,87.03770560945144,19.5283198650899,17.830653219285388,0.4078108657775067,0.1527027027027027,0.2110177404295051,0.9234568144616956,epithelial
462,4622,10.004329004329003,554,894,1.6137184115523466,-112.20532389657096,2027,0.227923038973853,MCF7,FCCP,MCF7_FCCP_A1_N8_37,5,75.25,7.425104397976499,28.913264584489376,22.34546882672022,0.6345949683819363,0.1189723320158102,0.1511044176706827,0.97368742142792,epithelial
292,2123,7.27054794520548,280,385,1.375,-102.42074259146104,1366,0.2137628111273792,MCF7,FCCP,MCF7_FCCP_A1_N8_35,4,53.25,-6.53669917188913,26.41583155056906,17.11072397869342,0.7618571766073164,0.1009957325746799,0.1614859742228961,0.920499777676773,epithelial
407,3763,9.245700245700244,723,1001,1.384508990318119,-116.77700245165477,2179,0.1867829279486002,MCF7,FCCP,MCF7_FCCP_A1_N8_28,6,67.25,3.404605434539286,34.68482751614273,19.456368838128537,0.8278513465267072,0.0881100556829348,0.1364097363083164,0.940272756389785,epithelial
225,2119,9.417777777777776,334,448,1.341317365269461,-119.86023537247404,1027,0.2190847127555988,MCF7,FCCP,MCF7_FCCP_A1_N8_11,3,49.0,-89.72884575292566,19.260298803519184,17.49782389849062,0.4179026375041335,0.1322537112010796,0.1884615384615384,1.1006476450409746,epithelial
408,3188,7.813725490196078,300,479,1.596666666666667,-97.65977017920062,1358,0.3004418262150221,MCF7,FCCP,MCF7_FCCP_A1_N8_31,2,82.25,4.470400034966249,25.63761308329297,15.687493131295213,0.7909400343666357,0.2108974358974359,0.2651087832393231,0.9871495756422684,epithelial
309,2805,9.07766990291262,604,902,1.4933774834437086,-110.99379896427142,1537,0.2010409889394925,MCF7,FCCP,MCF7_FCCP_A1_N8_21,2,46.5,57.94319129966611,23.89949164531591,19.16147489367203,0.5976563241785993,0.0899419729206963,0.130343377715487,1.0288108324513707,epithelial
927,5550,5.9870550161812295,726,800,1.1019283746556474,-104.09108259238688,3457,0.268151576511426,MCF7,FCCP,MCF7_FCCP_A1_N8_36,8,175.75,-20.826521343913555,44.78814774999282,26.34781243539328,0.8086598924519006,0.1318454613653413,0.1932380428807036,0.9113824206183784,epithelial
503,4796,9.534791252485087,475,857,1.8042105263157893,-102.38669023629842,1833,0.2744135297326787,MCF7,FCCP,MCF7_FCCP_A1_N8_20,2,98.25,-12.892271536054984,32.14958366533482,18.229241514936657,0.8237086366389422,0.1452328159645232,0.2193080357142857,1.12104850223343,epithelial
1061,5469,5.154571159283695,982,990,1.0081466395112015,-100.35387283245512,3641,0.2914034605877506,MCF7,FCCP,MCF7_FCCP_A1_N8_7,9,202.5,-6.176229610510499,42.69384544027771,27.90450311232979,0.7568440975913835,0.1578024547048509,0.2207686017988552,0.8871997214408592,epithelial
492,3508,7.130081300813008,347,642,1.85014409221902,-82.96713546528481,1514,0.3249669749009247,MCF7,FCCP,MCF7_FCCP_A1_N8_5,1,91.25,56.71937241695229,24.00621194791848,21.00811032063067,0.4839214768197936,0.1728219696969697,0.2326322498406628,0.9614957388500992,epithelial
287,2105,7.334494773519164,368,479,1.3016304347826086,-106.3317085735649,1104,0.259963768115942,MCF7,FCCP,MCF7_FCCP_A1_N8_8,4,67.0,-33.57849785674386,26.18122857843284,13.641086992371234,0.8535411278549918,0.1541115583668775,0.2451967063129002,1.0319222258326255,epithelial
369,2302,6.238482384823849,307,512,1.6677524429967427,-81.13449416902289,1053,0.3504273504273504,MCF7,FCCP,MCF7_FCCP_A1_N8_16,3,74.25,51.4394069021093,23.92513365379058,14.33707235193837,0.8005639530965647,0.1810975609756097,0.2833969465648855,1.0046875236933437,epithelial
264,1777,6.731060606060606,441,537,1.217687074829932,-105.15143961569846,1135,0.2325991189427312,MCF7,FCCP,MCF7_FCCP_A1_N8_19,4,48.0,27.905041553942723,21.1661928787188,16.65814081872491,0.6169320819549868,0.1148325358851674,0.1772853185595568,0.8662975927731895,epithelial
456,3357,7.361842105263157,406,572,1.4088669950738917,-101.6917478747864,1827,0.2495894909688013,MCF7,FCCP,MCF7_FCCP_A1_N8_38,5,86.75,-37.332381648841285,33.675571798125006,15.940510585485644,0.8808715879736733,0.1230496453900709,0.2074118350268977,0.951212293392468,epithelial
302,2431,8.049668874172186,564,388,0.6879432624113475,-151.27031193218642,1626,0.1857318573185732,MCF7,FCCP,MCF7_FCCP_A1_N2_2,2,57.0,29.839385511888626,28.54210741330913,15.19136185459544,0.8465910803721887,0.1107871720116618,0.1707865168539326,1.122554455041107,epithelial
314,1418,4.515923566878981,366,214,0.5846994535519126,-125.72242293314508,1532,0.2049608355091383,MCF7,FCCP,MCF7_FCCP_A1_N2_5,5,46.5,-14.245455800514703,28.877827977546573,15.858747259827648,0.8357126996159809,0.0994652406417112,0.1320085166784954,0.7814212317080208,epithelial
241,1575,6.535269709543568,530,338,0.6377358490566037,-143.11325082318197,1610,0.1496894409937888,MCF7,FCCP,MCF7_FCCP_A1_N2_4,5,39.75,-66.49614744180438,22.49205543440114,18.13183262284744,0.5917195789342092,0.0828125,0.1267942583732057,0.8355892043809258,epithelial
690,3690,5.3478260869565215,974,852,0.8747433264887063,-111.34666734977397,3045,0.2266009852216748,MCF7,FCCP,MCF7_FCCP_A1_N2_6,11,135.75,-46.10054582534195,42.877913390777664,22.04288152058879,0.8577393931670636,0.1178385416666666,0.1857680465275402,0.858276912767853,epithelial
341,2812,8.24633431085044,635,644,1.0141732283464566,-128.88524547877566,1780,0.1915730337078651,MCF7,FCCP,MCF7_FCCP_A1_N5_36,4,59.25,25.01897085416735,24.44656862469792,22.62127496134264,0.379149610914094,0.0894339622641509,0.1409875074360499,1.0317735654203686,epithelial
571,3896,6.823117338003502,351,580,1.6524216524216524,-87.21158636445669,2099,0.2720343020485946,MCF7,FCCP,MCF7_FCCP_A1_N5_41,7,114.25,-36.95019182035412,36.04584974499348,17.673078716060314,0.8715568766761109,0.1314351452401495,0.2326883910386965,0.851412446107902,epithelial
577,3644,6.315424610051993,500,644,1.288,-97.77911839765962,2601,0.221837754709727,MCF7,FCCP,MCF7_FCCP_A1_N5_9,4,111.5,-28.354339513803303,36.9448584205574,21.63316297843968,0.8106343144753569,0.1214596949891067,0.1796214256947241,0.940922501117191,epithelial
542,3159,5.828413284132841,691,890,1.2879884225759768,-92.84428436484129,1751,0.309537407195888,MCF7,FCCP,MCF7_FCCP_A1_N5_3,3,98.25,50.50412022324432,25.18966121857131,23.898920272244045,0.3160002733987558,0.1401069518716577,0.2191857222532069,0.9646498424171231,epithelial
204,1177,5.769607843137255,690,568,0.8231884057971014,-119.75121897560216,1304,0.156441717791411,MCF7,FCCP,MCF7_FCCP_A1_N5_13,2,30.0,2.6419965408551653,23.768867086803496,14.92623627624823,0.7782341242959318,0.0869565217391304,0.1088929219600726,0.8273181557930548,epithelial
358,2736,7.64245810055866,785,529,0.6738853503184713,-149.34749656334978,3112,0.115038560411311,MCF7,FCCP,MCF7_FCCP_A1_N5_28,4,28.5,-82.92266717360472,45.42545410668891,17.21918231994736,0.92537020530014,0.0329670329670329,0.0468557336621455,0.7911319262304083,epithelial
374,3014,8.058823529411764,805,721,0.8956521739130435,-135.1136993971897,2288,0.1634615384615384,MCF7,FCCP,MCF7_FCCP_A1_N5_33,5,72.25,-5.911875485172918,32.66593671757644,21.419932940232783,0.7549981800337222,0.0904255319148936,0.1399515738498789,0.9039191409936728,epithelial
430,2499,5.811627906976744,694,601,0.8659942363112392,-117.07987150931488,2370,0.1814345991561181,MCF7,FCCP,MCF7_FCCP_A1_N5_16,5,56.25,-86.61587315002386,39.29378635302658,18.880784757117272,0.8769930473147429,0.0721153846153846,0.1017639077340569,0.8491802522018672,epithelial
390,1946,4.98974358974359,664,530,0.7981927710843374,-112.71656449298024,2076,0.1878612716763005,MCF7,FCCP,MCF7_FCCP_A1_N5_25,7,53.25,44.103360626448826,30.52002537238488,21.94562144678449,0.6949516567984468,0.0668549905838041,0.1066066066066066,0.7906829033576996,epithelial
331,2340,7.069486404833837,615,747,1.2146341463414634,-108.32271231237569,1634,0.2025703794369645,MCF7,FCCP,MCF7_FCCP_A1_N5_11,6,64.0,60.49158457269401,25.267178032093742,21.38528564779641,0.5326013918790558,0.1068001668752607,0.1573448063921327,0.9022250525356176,epithelial
483,3068,6.351966873706004,1299,938,0.7220939183987682,-133.72342145468537,3631,0.1330212062792619,MCF7,FCCP,MCF7_FCCP_A1_N5_24,5,67.0,66.26923535638272,46.00033087503263,24.403791639465545,0.8476765534127546,0.0538152610441767,0.0790094339622641,0.8530369979892823,epithelial
544,4539,8.34375,750,524,0.6986666666666667,-152.52579808530496,3075,0.176910569105691,MCF7,FCCP,MCF7_FCCP_A1_N5_34,12,109.0,48.796117867095234,43.4211219103659,19.50275468189972,0.8934545390818225,0.0922751322751322,0.1657164576206765,1.1387957156807724,epithelial
291,1920,6.597938144329897,610,573,0.939344262295082,-119.88382195563156,2004,0.1452095808383233,MCF7,FCCP,MCF7_FCCP_A1_N5_26,6,53.0,71.5786221770314,33.12031798497231,16.524123224559034,0.8666526652728099,0.07717510010921,0.1251475796930342,0.8397910600156123,epithelial
536,4015,7.490671641791045,498,572,1.1485943775100402,-115.31985238372728,2234,0.2399283795881826,MCF7,FCCP,MCF7_FCCP_A1_N5_32,7,108.5,7.27185234327144,32.937691112586734,19.276592831456497,0.8108570904684668,0.1730462519936204,0.2199695894576786,0.939045619838794,epithelial
378,3798,10.047619047619047,824,694,0.8422330097087378,-152.4606073070516,2067,0.1828737300435413,MCF7,FCCP,MCF7_FCCP_A1_N5_40,8,73.25,-70.54160716159984,30.22514115657012,20.617668426137485,0.7312249699689074,0.1299334811529933,0.1527632950990615,1.0707053887710292,epithelial
484,3124,6.454545454545454,247,343,1.388663967611336,-94.4912133628564,1757,0.2754695503699488,MCF7,FCCP,MCF7_FCCP_A1_N5_30,5,95.0,-38.14167568723755,27.600346417171725,18.524988589570206,0.741288243602313,0.1723356009070294,0.2389937106918239,0.9538303178426708,epithelial
691,4121,5.963820549927641,504,540,1.0714285714285714,-105.57818381917804,2567,0.2691858200233736,MCF7,FCCP,MCF7_FCCP_A1_N5_29,4,132.25,-46.982535856742,31.5471727724296,26.2318610852398,0.5555063934943105,0.1545879602571595,0.2105891719745223,0.8908144776561122,epithelial
421,1987,4.719714964370547,695,633,0.9107913669064748,-101.17917468583818,1886,0.2232237539766702,MCF7,FCCP,MCF7_FCCP_A1_N5_39,6,67.0,-15.17988835695307,27.043950977283657,20.964009581717896,0.6317368128488633,0.134,0.1531428571428571,0.8126138881813374,epithelial
577,3730,6.464471403812825,990,890,0.898989898989899,-121.32749068173102,3592,0.1606347438752784,MCF7,FCCP,MCF7_FCCP_A1_N5_27,6,96.5,67.98004199626313,44.50375836746976,22.773886128609966,0.8591466209411985,0.0769690927218344,0.1236783082345402,0.8930871672495484,epithelial
362,2780,7.679558011049724,507,401,0.7909270216962525,-139.79636162532682,2116,0.1710775047258979,MCF7,FCCP,MCF7_FCCP_A1_N5_31,6,62.5,0.0241172006537713,31.93302612042673,20.626875296099087,0.7633866874175326,0.0930059523809523,0.124750499001996,0.8466186365449178,epithelial
596,4682,7.855704697986577,968,791,0.8171487603305785,-139.18520718040742,2793,0.213390619405657,MCF7,FCCP,MCF7_FCCP_A1_N5_37,7,126.25,-54.63483064888667,36.85232576281137,25.648718543203305,0.7180549373797582,0.1031454248366013,0.1813285457809695,1.011900235024808,epithelial
378,3516,9.301587301587302,606,337,0.5561056105610561,-173.2444003124996,1919,0.1969775924960917,MCF7,FCCP,MCF7_FCCP_A1_N5_38,9,69.0,-49.46971999401372,32.05687980728274,19.44240724377713,0.7950856363300373,0.0865203761755485,0.1490280777537797,1.0292700900801284,epithelial
500,3194,6.388,571,740,1.295971978984238,-98.1023556093495,2225,0.2247191011235955,MCF7,FCCP,MCF7_FCCP_A1_N5_14,5,94.5,-47.25646671235411,26.07000924724779,25.730573820414207,0.1608439473092969,0.1425339366515837,0.1831395348837209,0.9024536935094714,epithelial
1039,7548,7.264677574590952,572,930,1.6258741258741258,-92.06416671823516,3231,0.3215722686474775,MCF7,FCCP,MCF7_FCCP_A1_N4_34,6,210.5,68.53759481106579,49.44906960551381,22.37948634304549,0.8917255861156398,0.1525362318840579,0.2559270516717325,0.9928715003800052,epithelial
632,5794,9.167721518987342,753,1782,2.366533864541833,-83.28713784302201,1910,0.3308900523560209,MCF7,FCCP,MCF7_FCCP_A1_N4_18,3,137.0,86.04934546190945,33.57570803285726,20.4256101841131,0.7936727934064028,0.1846983485001685,0.2718253968253968,1.0637106556238862,epithelial
448,3646,8.138392857142858,503,711,1.4135188866799204,-107.65639348188748,2035,0.2201474201474201,MCF7,FCCP,MCF7_FCCP_A1_N4_25,5,77.25,84.47050461491258,29.78066052405362,21.43276138547405,0.6942984057425953,0.1125683060109289,0.1566937119675456,0.8995453423193578,epithelial
692,6946,10.03757225433526,314,915,2.914012738853504,-76.06345819662351,1720,0.4023255813953488,MCF7,FCCP,MCF7_FCCP_A1_N4_2,2,159.0,-35.51936589174836,24.829915452031287,22.171303125320645,0.4502013833927232,0.3072463768115942,0.3765541740674956,1.092893840773974,epithelial
113,1883,16.663716814159294,345,675,1.9565217391304348,-131.73702432037396,1486,0.076043068640646,MCF7,FCCP,MCF7_FCCP_A1_N4_36,2,19.75,5.952428109973072,15.301753018043373,10.542584191367167,0.7247814462249603,0.1088154269972451,0.1628865979381443,0.9954526015371886,epithelial
280,2023,7.225,282,481,1.7056737588652482,-88.78060264209716,1155,0.2424242424242424,MCF7,FCCP,MCF7_FCCP_A1_N4_21,1,54.0,86.67468798982046,22.225110894760185,13.83553966961093,0.7826051921144004,0.1860465116279069,0.2261780104712042,0.8387107470206325,epithelial
