file_name,mito_area,mito_intensity_sum,mito_intensity_avg,nuclei_area,nuclei_intensity_sum,nuclei_intensity_avg,Delta Psi 1,cell_area,mito_content,cell_line,treatment
A1_N2_MitoI_12.tiff,212,13388,63.15094339622642,381,6171,16.19685039370079,-83.68372554458759,1022,0.20743639921722112,A549,FCCP
A1_N2_MitoI_7.tiff,480,9869,20.560416666666665,366,1965,5.368852459016393,-82.57934119513662,1762,0.2724177071509648,A549,FCCP
A1_N2_MitoI_15.tiff,292,17168,58.794520547945204,261,3483,13.344827586206897,-91.19956767287175,1038,0.2813102119460501,A549,FCCP
A1_N2_MitoI_8.tiff,353,6247,17.69688385269122,386,1427,3.6968911917098444,-96.30262383671845,1047,0.33715377268385865,A549,FCCP
A1_N2_MitoI_2.tiff,439,16232,36.9749430523918,443,4390,9.909706546275395,-80.97863254299348,1204,0.3646179401993355,A549,FCCP
A1_N2_MitoI_70.tiff,159,16271,102.33333333333333,241,2616,10.854771784232366,-137.98328680970818,1351,0.11769059955588453,A549,FCCP
A1_N2_MitoI_35.tiff,269,5177,19.2453531598513,287,1627,5.668989547038327,-75.1689128691997,772,0.3484455958549223,A549,FCCP
A1_N2_MitoI_26.tiff,236,11145,47.22457627118644,267,2135,7.99625468164794,-109.22038217221085,991,0.23814328960645811,A549,FCCP
A1_N2_MitoI_53.tiff,505,9879,19.562376237623763,298,2149,7.2114093959731544,-61.373539495368505,1179,0.42832909245122985,A549,FCCP
A1_N2_MitoI_38.tiff,267,7552,28.284644194756556,440,2696,6.127272727272727,-94.06851221476957,1011,0.26409495548961426,A549,FCCP
A1_N2_MitoI_68.tiff,429,5505,12.832167832167832,396,1684,4.252525252525253,-67.92319202087977,1012,0.42391304347826086,A549,FCCP
A1_N2_MitoI_22.tiff,493,7786,15.793103448275861,353,2017,5.713881019830028,-62.52550469606794,1199,0.41117597998331945,A549,FCCP
A1_N2_MitoI_33.tiff,345,8895,25.782608695652176,418,2248,5.37799043062201,-96.39420238165467,1031,0.33462657613967023,A549,FCCP
A1_N2_MitoI_10.tiff,332,24427,73.57530120481928,446,6003,13.459641255605382,-104.46474357869417,1439,0.23071577484364142,A549,FCCP
